# GCP identity map — which Google account manages each piece of infrastructure.
#
# WHY: this machine has several gcloud accounts (personal, nocentre, vitruvian). GCP auth must
# NOT depend on whichever account `gcloud` is currently set to. The Pulumi Bazel wrappers
# (//tools/pulumi) read this file and inject a token for the declared account at run time
# (GOOGLE_OAUTH_ACCESS_TOKEN), so the correct identity is always used — and using the wrong
# one fails fast instead of silently succeeding against the wrong project.
#
# FORMAT: columns separated by any whitespace (awk default), aligned with spaces for
# readability (the .tsv extension is nominal). Consumers MUST skip `#` comment and blank
# lines (the reference parser //tools/pulumi/resolve_identity.sh does). Columns:
#   infra_dir    workspace-relative Pulumi project dir (resolver key); '-' = reference-only row
#   account      Google account email to authenticate as
#   gcp_project  default GCP project (exported as GOOGLE_CLOUD_PROJECT); '-' if N/A
#   purpose      free text; may contain spaces; MUST be the last column
#
# NOTE: every first-party app that deploys to / uses GCP in this repo authenticates as the
# personal account james.nguyen@gmail.com today (distinct GCP projects, one row each).
# james@nocentre.net is the go-forward account for future (company) projects.
#
# AD-HOC GCP WORK: look up the account here, then:
#   export GOOGLE_OAUTH_ACCESS_TOKEN=$(gcloud auth print-access-token --account=<account>)
# From a machine with no gcloud credentials of its own (a Claude Code cloud session:
# no key is possible there, since the org enforces iam.disableServiceAccountKeyCreation),
# use the wrapper instead -- it prefers local gcloud and otherwise mints the token over
# the tailnet from a homelab node that IS logged in:
#   export GOOGLE_OAUTH_ACCESS_TOKEN=$(bazel run -q //tools/gcp-token -- <account>)
#
# infra_dir                                                   account / service_account                                                                 gcp_project                     wif_identity_or_purpose
infrastructure/pulumi/accounts/personal                       james.nguyen@gmail.com                                                                    personal-llc                    Personal Cloud Run + Cloudflare DNS (pulumi_lab_gmail)
oauth-user-inspector/infra/app                                sa-oauth-user-inspector-deploy-dev@prj-d-bu1-oss-floating-648a.iam.gserviceaccount.com   prj-d-bu1-oss-floating-648a     WIF: attribute.environment/oauth-user-inspector-development
oauth-user-inspector/infra/identity                          sa-oauth-user-inspector-deploy-dev@prj-d-bu1-oss-floating-648a.iam.gserviceaccount.com   prj-d-bu1-oss-floating-648a     WIF: attribute.environment/oauth-user-inspector-development
tabula/infra/build                                            sa-tabula-build@prj-c-bu2-infra-pipeline-3d09.iam.gserviceaccount.com                    prj-c-bu2-infra-pipeline-3d09   WIF: attribute.environment/tabula-build
tabula/infra/data                                             sa-tabula-deploy-dev@prj-d-bu2-oss-floating-34a1.iam.gserviceaccount.com                  prj-c-bu2-infra-pipeline-3d09   WIF: attribute.environment/tabula-development
tabula/infra/identity                                         sa-tabula-deploy-dev@prj-d-bu2-oss-floating-34a1.iam.gserviceaccount.com                  prj-d-bu2-oss-floating-34a1     WIF: attribute.environment/tabula-development
tabula/infra/app                                              sa-tabula-deploy-dev@prj-d-bu2-oss-floating-34a1.iam.gserviceaccount.com                  prj-d-bu2-oss-floating-34a1     WIF: attribute.environment/tabula-development
tabula/infra/web                                              sa-tabula-deploy-dev@prj-d-bu2-oss-floating-34a1.iam.gserviceaccount.com                  prj-d-bu2-oss-floating-34a1     WIF: attribute.environment/tabula-development
# --- foundation stages (vitruviansoftware.dev org) ---
infrastructure/pulumi/foundation/org-folders                  sa-terraform-bootstrap@prj-c-cicd-1064807322707.iam.gserviceaccount.com                   -                                WIF: attribute.environment/foundation-bootstrap
infrastructure/pulumi/foundation/gcp-bootstrap                sa-terraform-bootstrap@prj-c-cicd-1064807322707.iam.gserviceaccount.com                   -                                WIF: attribute.environment/foundation-bootstrap
infrastructure/pulumi/foundation/gcp-org                      sa-terraform-org@prj-c-cicd-1064807322707.iam.gserviceaccount.com                         -                                WIF: attribute.environment/foundation-org
infrastructure/pulumi/foundation/gcp-environments             sa-terraform-env@prj-c-cicd-1064807322707.iam.gserviceaccount.com                         -                                WIF: attribute.environment/foundation-env-development
infrastructure/pulumi/foundation/gcp-networks                 sa-terraform-net@prj-c-cicd-1064807322707.iam.gserviceaccount.com                         -                                WIF: attribute.environment/foundation-net-development
# --- reference only: accounts we use, no infrastructure in this repo yet ---
-                                                             james@nocentre.net                                                                        -                                nocentre.net projects (future)
infrastructure/pulumi/foundation/gcp-projects                 sa-terraform-proj@prj-c-cicd-1064807322707.iam.gserviceaccount.com                        -                                WIF: attribute.environment/foundation-proj-development
infrastructure/pulumi/platform/zitadel-apps                   sa-zitadel-apps@prj-c-cicd-1064807322707.iam.gserviceaccount.com                         prj-c-cicd-1064807322707        WIF: attribute.environment/platform-zitadel-apps
